Domain,Type,Name
aaa,Work,American Automobile Association
aarp,Work,AARP
abarth,Work,Fiat Chrysler Automobiles N.V.
abb,Work,ABB
abbott,Work,Abbott Laboratories
abbvie,Work,AbbVie
abc,Work,American Broadcasting Companies
accenture,Work,Accenture plc
aco,Work,ACO Severin Ahlmann
aeg,Work,Aktiebolaget Electrolux
aetna,Work,Aetna Life Insurance
afl,Work,Australian Football League
agakhan,Work,Aga Khan Foundation
aig,Work,American International Group
aigo,Work,aigo Digital Technology
airbus,Work,Airbus S.A.S.
airtel,Work,Bharti Airtel Limited
akdn,Work,Aga Khan Foundation
alfaromeo,Work,Alfa Romeo
alibaba,Work,Alibaba
alipay,Work,Alipay
allfinanz,Work,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft
allstate,Work,Allstate Fire and Casualty Insurance Company
ally,Work,Ally Financial
alstom,Work,ALSTOM
americanexpress,Work,American Express
amex,Work,American Express
amica,Work,Amica Mutual Insurance
android,Work,Google Android
anz,Work,Australia and New Zealand Banking
aol,Work,AOL
apple,Work,Apple
aquarelle,Work,Aquarelle.com
aramco,Work,Aramco Services Company
audi,Work,AUDI Aktiengesellschaft
auspost,Work,Australian Postal
axa,Work,AXA
azure,Work,Microsoft Azure
baidu,Work,Baidu
bananarepublic,Work,Banana Republic
barclaycard,Work,Barclays
barclays,Work,Barclays
basketball,Work,FIBA
bauhaus,Work,Werkhaus GmbH
bbc,Work,BBC
bbt,Work,BB&T
bbva,Work,Banco Bilbao Vizcaya Argentaria
bcg,Work,The Boston Consulting Group
bentley,Work,Bentley Motors
bharti,Work,Bharti Enterprises
bing,Work,Microsoft - Bing
blanco,Work,BLANCO
bloomberg,Work,Bloomberg
bms,Work,Bristol-Myers Squibb
bmw,Work,Bayerische Motoren Werke AG
bnl,Work,Banca Nazionale del Lavoro
bnpparibas,Work,BNP Paribas
boehringer,Work,Boehringer Ingelheim
bond,Work,Bond University
booking,Work,Booking.com
bosch,Work,Robert Bosch GmbH
bostik,Work,Bostik SA
bradesco,Work,Bradesco
bridgestone,Work,Bridgestone
brother,Work,Brother Industries
bugatti,Work,Bugatti
cal,Work,Google Calendar
calvinklein,Work,Calvin Klein
canon,Work,Canon
capitalone,Work,Capital One
caravan,Work,Caravan
cartier,Work,Richemont DNS
cba,Work,Commonwealth Bank of Australia
cbn,Work,Christian Broadcasting Network
cbre,Work,CBRE
cbs,Work,CBS
cern,Work,CERN
cfa,Work,CFA Institute
chanel,Work,Chanel
chase,Work,JPMorgan Chase Bank
chintai,Work,Chintai
chrome,Work,Google Chrome
chrysler,Work,FCA US LLC
cisco,Work,Cisco
citadel,Work,Citadel
citi,Work,Citigroup
