Domain,Type,Name
outlook.com,Other,Outlook.com
outlook.com.ar,Other,Outlook.com - Argentina
outlook.com.au,Other,Outlook.com - Australia
outlook.at,Other,Outlook.com - Austria
outlook.be,Other,Outlook.com - Belgium
outlook.com.br,Other,Outlook.com - Brazil
outlook.cl,Other,Outlook.com - Chile
outlook.cz,Other,Outlook.com - Czech
outlook.dk,Other,Outlook.com - Denmark
outlook.fr,Other,Outlook.com - France
outlook.de,Other,Outlook.com - Germany
outlook.com.gr,Other,Outlook.com - Greece
outlook.co.il,Other,Outlook.com - Israel
outlook.in,Other,Outlook.com - India
outlook.co.id,Other,Outlook.com - Indonesia
outlook.ie,Other,Outlook.com - Ireland
outlook.it,Other,Outlook.com - Italy
outlook.hu,Other,Outlook.com - Hungary
outlook.jp,Other,Outlook.com - Japan
outlook.kr,Other,Outlook.com - Korea
outlook.lv,Other,Outlook.com - Latvia
outlook.my,Other,Outlook.com - Malaysia
outlook.co.nz,Other,Outlook.com - New
outlook.com.pe,Other,Outlook.com - Peru
outlook.ph,Other,Outlook.com - Philippines
outlook.pt,Other,Outlook.com - Portugal
outlook.sa,Other,Outlook.com - Saudi
outlook.sg,Other,Outlook.com - Singapore
outlook.sk,Other,Outlook.com - Slovakia
outlook.es,Other,Outlook.com - Spain
outlook.co.th,Other,Outlook.com - Thailand
outlook.com.tr,Other,Outlook.com - Turkey
outlook.com.vn,Other,Outlook.com - Vietnam
hotmail.com,Other,Hotmail
hotmail.com.hk,Other,Hotmail - Hong Kong
hotmail.com.tw,Other,Hotmail - Taiwan
hotmail.co.jp,Other,Hotmail - Japan
hotmail.co.kr,Other,Hotmail - Korea
hotmail.co.uk,Other,Hotmail - UK
hotmail.fr,Other,Hotmail - France
hotmail.ca,Other,Hotmail - Canada
hotmail.com.au,Other,Hotmail - Australia
hotmail.sg,Other,Hotmail - Singapore
hotmail.nz,Other,Hotmail - New Zealand
hotmail.de,Other,Hotmail - Germany
live.com,Personal,Windows Live Mail
live.com.ar,Personal,Windows Live Mail - Argentina
live.be,Personal,Windows Live Mail - Belgium
live.cn,Personal,Windows Live Mail - China
live.hk,Personal,Windows Live Mail - Hong Kong
livemail.tw,Personal,Windows Live Mail - Taiwan
live.jp,Personal,Windows Live Mail - Japan
live.co.kr,Personal,Windows Live Mail - Korea
live.co.uk,Personal,Windows Live Mail - UK
live.fr,Personal,Windows Live Mail - France
live.ca,Personal,Windows Live Mail - Canada
live.com.au,Personal,Windows Live Mail - Australia
live.com.sg,Personal,Windows Live Mail - Singapore
live.de,Personal,Windows Live Mail - Germany
live.com.mx,Personal,Windows Live Mail - Mexico
live.ie,Personal,Windows Live Mail - Ireland
live.in,Personal,Windows Live Mail - India
msn.com,Personal,MSN.com
msn.cn,Personal,MSN.com - China
msn.de,Personal,MSN.com - Germany
msn.dk,Personal,MSN.com - Denmark
msn.fr,Personal,MSN.com - France
