Domain,Type,Name
bhsf.cn,Work,BHSF
tsinghua.edu.cn,Work,Tsinghua University
mails.tsinghua.edu.cn,Work,Tsinghua - Student Mail
mail.tsinghua.edu.cn,Work,Tsinghua - Faculty Mail
math.tsinghua.edu.cn,Work,Tsinghua - Maths
sem.tsinghua.edu.cn,Work,Tsinghua - SEM
pku.edu.cn,Work,Peking University
berkeley.edu,Work,UC Berkeley
ucsd.edu,Work,UCSD
ucla.edu,Work,UCLA
ucsb.edu,Work,UCSB
umail.ucsb.edu,Work,UCSB - UMail
cs.ucsb.edu,Work,UCSB - CS
ucsf.edu,Work,UCSF
uci.edu,Work,UC Irvine
ucdavis.edu,Work,UC Davis
ucr.edu,Work,UC Riverside
ucsc.edu,Work,UCSC
ucmerced.edu,Work,UC Merced
princeton.edu,Work,Princeton University
harvard.edu,Work,Harvard University
yale.edu,Work,Yale University
cmu.edu,Work,Carnegie Mellon University
nyu.edu,Work,New York University
illinois.edu,Work,University of Illinois
utexas.edu,Work,University of Texas
gatech.edu,Work,Geogia Tech
columbia.edu,Work,Columbia University
mit.edu,Work,Massachusetts Institute of Technology
stanford.edu,Work,Stanford University
uw.edu,Work,University of Washington
washington.edu,Work,University of Washington
au.dk,Work,Aarhus Universitet
ox.ac.uk,Work,University of Oxford
pitt.edu,Work,University of Pittsburgh
ravenel.com,Work,Ravenel
uchicago.edu,Work,University of Chicago
